not_used,iri_local_name,modified,site_name_zh-Hans,site_name_zh-Latn-pinyin,site_name_en,site_geonames_id,site_getty_togn_id,earliest_period_zn-Hans,earliest_period_en,earliest_period_iri,latest_period_zn-Hans,latest_period_en,latest_period_iri,site_date_verbatim_zn-Hans,site_date_verbatim_en,locality_zn-Hans,locality_en,locality_geonames_id,locality_getty_togn_id
http://lod.vanderbilt.edu/historyart/site/Guangrenwangmiao,Guangrenwangmiao,2016-10-19T13:46:00-05:00,广仁王庙,Guangrenwangmiao,,,,,,,,,,唐,,山西省芮城县,,,
http://lod.vanderbilt.edu/historyart/site/Ruicheng,Ruicheng,2016-10-19T13:46:00-05:00,芮城城隍庙,Ruicheng,,,,,,,,,,北宋至清: Main Hall Song--11th cen?,,山西省芮城县,,,
http://lod.vanderbilt.edu/historyart/site/Zhaozewangmiao,Zhaozewangmiao,2016-10-19T13:46:00-05:00,昭泽王庙,Zhaozewangmiao,,,,,,,,,,金 大定 27 (1187),,山西省襄垣县,,,
http://lod.vanderbilt.edu/historyart/site/Fencheng,Fencheng,2016-10-19T13:46:00-05:00,汾城古建筑群,Fencheng,,,,,,,,,,金至清,,山西省襄汾县,,,
http://lod.vanderbilt.edu/historyart/site/Lingzewangmiao,Lingzewangmiao,2016-10-19T13:46:00-05:00,灵泽王庙/ 太平龍王廟,Lingzewangmiao,,,,,,,,,,金至清,,山西省長治襄垣县,,,
http://lod.vanderbilt.edu/historyart/site/Faxingsi,Faxingsi,2016-10-19T13:46:00-05:00,法兴寺,Faxingsi,,,,,,,,,,唐 (to Qing),,山西省长子县,,,
http://lod.vanderbilt.edu/historyart/site/Chongqingsi,Chongqingsi,2016-10-19T13:46:00-05:00,崇庆寺,Chongqingsi,,,,,,,,,,宋,,山西省长子县,,,
http://lod.vanderbilt.edu/historyart/site/Tianwangsi,Tianwangsi,2016-10-19T13:46:00-05:00,天王寺,Tianwangsi,,,,,,,,,,金,,山西省长子县 天王寺坐落于长子县城南大街东侧,,,
http://lod.vanderbilt.edu/historyart/site/Zhengjuesi,Zhengjuesi,2016-10-19T13:46:00-05:00,正觉寺,Zhengjuesi,,,,,,,,,,金至明,,山西省长治县,,,
http://lod.vanderbilt.edu/historyart/site/Xiajiao,Xiajiao,2016-10-19T13:46:00-05:00,下交汤帝庙,Xiajiao,,,,,,,,,,宋至清,,山西省阳城县,,,
http://lod.vanderbilt.edu/historyart/site/Kaifusi,Kaifusi,2016-10-19T13:46:00-05:00,开福寺,Kaifusi,,,,,,,,,,金至明,,山西省阳城县,,,
http://lod.vanderbilt.edu/historyart/site/Runcheng,Runcheng,2016-10-19T13:46:00-05:00,润城东岳庙/屯城東岳廟,Runcheng,,,,,,,,,,金至清,,山西省阳城县,,,
http://lod.vanderbilt.edu/historyart/site/Buersi,Buersi,2016-10-19T13:46:00-05:00,不二寺,Buersi,,,,,,,,,,金,,山西省阳曲县,,,
http://lod.vanderbilt.edu/historyart/site/Guanwangmiao,Guanwangmiao,2016-10-19T13:46:00-05:00,关王庙,Guanwangmiao,,,,,,,,,,宋,,山西省阳泉市,,,
http://lod.vanderbilt.edu/historyart/site/Yuquan,Yuquan,2016-10-19T13:46:00-05:00,玉泉东岳庙,Yuquan,,,,,,,,,,金至清,,山西省陵川县附城镇,,,
http://lod.vanderbilt.edu/historyart/site/Shizhang,Shizhang,2016-10-19T13:46:00-05:00,石掌玉皇庙,Shizhang,,,,,,,,,,金至清,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Baiyugong,Baiyugong,2016-10-19T13:46:00-05:00,白玉宫,Baiyugong,,,,,,,,,,金至清,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Longyansi,Longyansi,2016-10-19T13:46:00-05:00,龙岩寺,Longyansi,,,,,,,,,,金、明,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Xiaohuiling,Xiaohuiling,2016-10-19T13:46:00-05:00,小会岭二仙庙,Xiaohuiling,,,,,,,,,,北宋至清,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Lingchuan,Lingchuan,2016-10-19T13:46:00-05:00,崔府君庙,Lingchuan,,,,,,,,,,金至清,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Xixi,Xixi,2016-10-19T13:46:00-05:00,西溪二仙庙,Xixi,,,,,,,,,,金至清,,山西省陵川县,,,
http://lod.vanderbilt.edu/historyart/site/Sirun,Sirun,2016-10-19T13:46:00-05:00,寺润三教堂,Sirun,,,,,,,,,,金,,山西省陵川县; 陵川县杨村镇寺润村,,,
http://lod.vanderbilt.edu/historyart/site/Nanshentou,Nanshentou,2016-10-19T13:46:00-05:00,南神头二仙庙,Nanshentou,,,,,,,,,,金至清,,山西省陵川县; 陵川县潞城镇石圪峦村,,,
http://lod.vanderbilt.edu/historyart/site/Nanjixiangsi,Nanjixiangsi,2016-10-19T13:46:00-05:00,南吉祥寺,Nanjixiangsi,,,,,,,,,,宋－清,,山西省陵川县平川,,,
http://lod.vanderbilt.edu/historyart/site/Beijixiangsi,Beijixiangsi,2016-10-19T13:46:00-05:00,北吉祥寺,Beijixiangsi,,,,,,,,,,宋－清,,山西省陵川县禮義,,,
http://lod.vanderbilt.edu/historyart/site/Beijinxiangsi,Beijinxiangsi,2016-10-19T13:46:00-05:00,北吉祥寺,Beijinxiangsi (does not differ in zn-Hans),,,,,,,,,,宋－清,,山西省陵川县禮義,,,
http://lod.vanderbilt.edu/historyart/site/Yangquan,Yangquan,2016-10-19T13:46:00-05:00,大王庙,Yangquan,,,,,,,,,,金至明,,山西省陽泉市盂县,,,
http://lod.vanderbilt.edu/historyart/site/Youxiansi,Youxiansi,2016-10-19T13:46:00-05:00,游仙寺,Youxiansi,,,,,,,,,,北宋至清,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Xilimen,Xilimen,2016-10-19T13:46:00-05:00,西李门二仙庙,Xilimen,,,,,,,,,,金至清,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Zhongping,Zhongping,2016-10-19T13:46:00-05:00,中坪二仙宫,Zhongping,,,,,,,,,,金至清,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Erlangmiao,Erlangmiao,2016-10-19T13:46:00-05:00,二郞庙,Erlangmiao,,,,,,,,,,金至清,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Chongmingsi,Chongmingsi,2016-10-19T13:46:00-05:00,崇明寺,Chongmingsi,,,,,,,,,,北宋至明,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Kaihuasi,Kaihuasi,2016-10-19T13:46:00-05:00,开化寺,Kaihuasi,,,,,,,,,,北宋至清,,山西省高平市,,,
http://lod.vanderbilt.edu/historyart/site/Meian,Meian,2016-10-19T13:46:00-05:00,梅庵,Meian,,,,,,,,,,北宋 996?,,广东省肇庆市,,,
http://lod.vanderbilt.edu/historyart/site/Nantong,Nantong,2016-10-19T13:46:00-05:00,南通天宁寺,Nantong,,,,,,,,,,宋,,江苏省南通市,,,
http://lod.vanderbilt.edu/historyart/site/Suzhou,Suzhou,2016-10-19T13:46:00-05:00,玄妙观三清殿,Suzhou,,,,,,,,,,宋,,江苏省苏州市,,,
http://lod.vanderbilt.edu/historyart/site/Yuanzhou,Yuanzhou,2016-10-19T13:46:00-05:00,袁州谯楼,Yuanzhou,,,,,,,,,,宋至清 袁州譙樓建於南宋嘉定十二年(西元１２１９年),,江西省宜春市,,,
http://lod.vanderbilt.edu/historyart/site/Kaiyuansi,Kaiyuansi,2016-10-19T13:46:00-05:00,开元寺钟楼,Kaiyuansi,,,,,,,,,,唐至清,,河北省正定县,,,
http://lod.vanderbilt.edu/historyart/site/Zhengding,Zhengding,2016-10-19T13:46:00-05:00,正定文庙大成殿,Zhengding,,,,,,,,,,五代,,河北省正定县,,,
http://lod.vanderbilt.edu/historyart/site/Longxingsi,Longxingsi,2016-10-19T13:46:00-05:00,隆兴寺,Longxingsi,,,,,,,,,,initially built 586; now 宋 10th-11th century,,河北省正定县,,,
http://lod.vanderbilt.edu/historyart/site/Geyuansi,Geyuansi,2016-10-19T13:46:00-05:00,阁院寺 977?,Geyuansi,,,,,,,,,,辽,,河北省涞源县,,,
http://lod.vanderbilt.edu/historyart/site/Dulesi,Dulesi,2016-10-19T13:46:00-05:00,独乐寺,Dulesi,,,,,,,,,,辽,,河北省蓟县,,,
http://lod.vanderbilt.edu/historyart/site/Chengtangmiao,Chengtangmiao,2016-10-19T13:46:00-05:00,成汤庙山门,Chengtangmiao,,,,,,,,,,金 1164,,河北省邯鄲涉县,,,
http://lod.vanderbilt.edu/historyart/site/Kaishansi,Kaishansi,2016-10-19T13:46:00-05:00,开善寺,Kaishansi,,,,,,,,,,辽,,河北省高碑店市,,,
http://lod.vanderbilt.edu/historyart/site/Liangcheng,Liangcheng,2016-10-19T13:46:00-05:00,两程故里,Liangcheng,,,,,,,,,,宋至明,,河南省嵩县,,,
http://lod.vanderbilt.edu/historyart/site/Jidumiao,Jidumiao,2016-10-19T13:46:00-05:00,济渎庙,Jidumiao,,,,,,,,,,宋－清,,河南省济源市,,,
http://lod.vanderbilt.edu/historyart/site/Shaolinsi,Shaolinsi,2016-10-19T13:46:00-05:00,少林寺初祖庵,Shaolinsi,,,,,,,,,,宋,,河南省登封市,,,
http://lod.vanderbilt.edu/historyart/site/Baoguosi,Baoguosi,2016-10-19T13:46:00-05:00,保国寺,Baoguosi,,,,,,,,,,北宋 1013,,浙江省宁波市,,,
http://lod.vanderbilt.edu/historyart/site/Zhangye,Zhangye,2016-10-19T13:46:00-05:00,张掖大佛寺,Zhangye,,,,,,,,,,西夏、清 ? Foundation Xixia?,,甘肃省张掖市,,,
http://lod.vanderbilt.edu/historyart/site/Hualinsi,Hualinsi,2016-10-19T13:46:00-05:00,华林寺大殿,Hualinsi,,,,,,,,,,宋,,福建省福州市,,,
http://lod.vanderbilt.edu/historyart/site/Putian,Putian,2016-10-19T13:46:00-05:00,元妙观三清殿,Putian,,,,,,,,,,宋,,福建省莆田市,,,
http://lod.vanderbilt.edu/historyart/site/Fengguosi,Fengguosi,2016-10-19T13:46:00-05:00,奉国寺,Fengguosi,,,,,,,,,,辽 1020,,辽宁省义县,,,
http://lod.vanderbilt.edu/historyart/site/Zhaorensi,Zhaorensi,2016-10-19T13:46:00-05:00,昭仁寺大殿,Zhaorensi,,,,,,,,,,唐,,陕西省长武县,,,
